month,pounds,month_name
1,2534835,Jan
2,1458824,Feb
3,1300949,March
4,1631128,April
5,2644342,May
6,3404298,June
7,21194166,Aug
8,26953399,July
9,19920359,Oct
10,21048755,Sept
11,11269055,Nov
12,6280269,Dec
