name,total,from_small_donors,party,clean_name
                          James P McGovern (D),374879,85199,D,                          James P McGovern
                          Lori Trahan (D),1121474,31029,D,                          Lori Trahan
                          Becky Grossman (D),150222,9402,D,                          Becky Grossman
                          Alan Khazei (D),366818,16763,D,                          Alan Khazei
                          Ihssane Leckey (D),125255,8995,D,                          Ihssane Leckey
                          Katherine Clark (D),719221,24862,D,                          Katherine Clark
                          Jamie Zahlaway Belsito (D),26560,10640,D,                          Jamie Zahlaway Belsito
                          Nathaniel Mulcahy (D),7070,67,D,                          Nathaniel Mulcahy
                          Lisa Peterson (D),38103,10453,D,                          Lisa Peterson
                          Seth Moulton (D),658014,17269,D,                          Seth Moulton
                          Ayanna Pressley (D),773409,300383,D,                          Ayanna Pressley
                          Mohammad Dar (D),74031,35124,D,                          Mohammad Dar
                          Brianna Wu (D),176153,45709,D,                          Brianna Wu
                          Stephen F Lynch (D),351134,4460,D,                          Stephen F Lynch
                          Bill Keating (D),249409,22803,D,                          Bill Keating
                          Shiva Ayyadurai (I),34896,2881,I,                          Shiva Ayyadurai
                          Shannon Liss-Riordan (D),3220704,0,D,                          Shannon Liss-Riordan
                          Joe Kennedy III (D),1517839,211817,D,                          Joe Kennedy III
                          Ed Markey (D),5671851,1046334,D,                          Ed Markey
                          Jorge Delgado (R),29615,1910,R,                          Jorge Delgado
                          Andy Harris (R),560808,91870,R,                          Andy Harris
                          Genevieve Morris (R),18999,880,R,                          Genevieve Morris
                          Dutch Ruppersberger (D),434634,11281,D,                          Dutch Ruppersberger
                          Carole Brown (D),36019,1775,D,                          Carole Brown
                          Shelia Bryant (D),28381,2881,D,                          Shelia Bryant
                          John Sarbanes (D),237302,10485,D,                          John Sarbanes
                          Anthony Brown (D),600908,5749,D,                          Anthony Brown
                          Mckayla Wilkes (D),82832,67938,D,                          Mckayla Wilkes
                          Briana Urbina (D),16522,9203,D,                          Briana Urbina
                          Steny H Hoyer (D),2043387,22383,D,                          Steny H Hoyer
                          Neil Parrott (R),58759,30265,R,                          Neil Parrott
                          David Trone (D),750098,3224,D,                          David Trone
                          Jamie Raskin (D),819354,101541,D,                          Jamie Raskin
                          Chellie Pingree (D),133646,38407,D,                          Chellie Pingree
                          Eric Brakey (R),337741,12184,R,                          Eric Brakey
                          Jared Golden (D),906738,157409,D,                          Jared Golden
                          Betsy Sweet (D),183211,100167,D,                          Betsy Sweet
                          Bre Kidman (D),14336,2796,D,                          Bre Kidman
                          Sara Gideon (D),4236202,1782220,D,                          Sara Gideon
                          Susan Collins (R),8556078,816569,R,                          Susan Collins
                          Linda O'Dell (D),50366,2305,D,                          Linda O'Dell
                          Dana Ferguson (D),9791,4625,D,                          Dana Ferguson
                          Ryan Ruzziconi (D),49548,48,D,                          Ryan Ruzziconi
                          John Bergman (R),627609,26539,R,                          John Bergman
                          Bryan Berghoef (D),132595,52937,D,                          Bryan Berghoef
                          Bill Huizenga (R),806988,16051,R,                          Bill Huizenga
                          Nick Colvin (D),243293,32894,D,                          Nick Colvin
                          Jim Lower (R),235150,126532,R,                          Jim Lower
                          Doug Booth (D),15667,10654,D,                          Doug Booth
                          Tom Norton (R),22850,7039,R,                          Tom Norton
                          Lynn Afendoulis (R),159372,40893,R,                          Lynn Afendoulis
                          Peter Meijer (R),410149,2004,R,                          Peter Meijer
                          Hillary Scholten (D),233709,56540,D,                          Hillary Scholten
                          Joel Langlois (R),246669,4769,R,                          Joel Langlois
                          Justin Amash (I),444125,136077,I,                          Justin Amash
                          Anthony Feig (D),5965,3660,D,                          Anthony Feig
                          John Moolenaar (R),625096,31803,R,                          John Moolenaar
                          Dan Kildee (D),697828,33288,D,                          Dan Kildee
                          Jon Hoadley (D),523814,121808,D,                          Jon Hoadley
                          Fred Upton (R),962016,40712,R,                          Fred Upton
                          Christopher Bartholomew Smith (D),11872,2120,D,                          Christopher Bartholomew Smith
                          Tim Walberg (R),994493,50403,R,                          Tim Walberg
                          Elissa Slotkin (D),1999968,217282,D,                          Elissa Slotkin
                          Andy Levin (D),310437,24103,D,                          Andy Levin
                          Brandon Mikula (R),28419,10,R,                          Brandon Mikula
                          Whittney Williams (R),44454,8644,R,                          Whittney Williams
                          Haley Stevens (D),1906086,164172,D,                          Haley Stevens
                          Solomon Rajput (D),10366,50,D,                          Solomon Rajput
                          Debbie Dingell (D),505796,18638,D,                          Debbie Dingell
                          Rashida Tlaib (D),1332571,502152,D,                          Rashida Tlaib
                          Brenda Lawrence (D),399469,23683,D,                          Brenda Lawrence
                          John James (R),4706290,1831107,R,                          John James
                          Gary Peters (D),9091888,1508353,D,                          Gary Peters
                          Rich Wright (D),47148,1990,D,                          Rich Wright
                          Jim Hagedorn (R),709136,29986,R,                          Jim Hagedorn
                          Rick Olson (R),105486,976,R,                          Rick Olson
                          Angie Craig (D),1404410,165805,D,                          Angie Craig
                          Kendall Qualls (R),111511,6246,R,                          Kendall Qualls
                          Dean Phillips (D),581201,78999,D,                          Dean Phillips
                          Betty McCollum (D),418516,24851,D,                          Betty McCollum
                          Chris Kelley (3),190086,130776,3,                          Chris Kelley
                          Danielle Stella (R),41993,33563,R,                          Danielle Stella
                          Lacy Johnson (R),172263,120943,R,                          Lacy Johnson
                          Ilhan Omar (D),2532603,1545301,D,                          Ilhan Omar
                          Ian Todd (D),10056,5521,D,                          Ian Todd
                          Tom Emmer (R),1061473,47984,R,                          Tom Emmer
                          Michelle Fischbach (R),100772,24024,R,                          Michelle Fischbach
                          Noel Collis (R),135800,0,R,                          Noel Collis
                          Joel Novak (R),7050,0,R,                          Joel Novak
                          Dave Hughes (R),36723,7078,R,                          Dave Hughes
                          Collin Peterson (D),601242,28612,D,                          Collin Peterson
                          Pete Stauber (R),867388,64259,R,                          Pete Stauber
                          Jason Lewis (R),413144,82132,R,                          Jason Lewis
                          Rob Barrett (R),16459,3622,R,                          Rob Barrett
                          Tina Smith (D),13059148,3728660,D,                          Tina Smith
                          Cori Bush (D),105025,69485,D,                          Cori Bush
                          William L Clay Jr. (D),381577,5356,D,                          William L Clay Jr.
                          Ann L Wagner (R),1599351,7858,R,                          Ann L Wagner
                          Katy Geppert (D),11267,8397,D,                          Katy Geppert
                          Blaine Luetkemeyer (R),837682,5913,R,                          Blaine Luetkemeyer
                          Vicky Hartzler (R),551247,81190,R,                          Vicky Hartzler
                          MG Salazar (D),14580,8653,D,                          MG Salazar
                          Emanuel Cleaver (D),486968,15538,D,                          Emanuel Cleaver
                          Vic Abundis (D),19075,3765,D,                          Vic Abundis
                          Sam Graves (R),920291,3673,R,                          Sam Graves
                          Billy Long (R),592887,3870,R,                          Billy Long
                          Kathryn Ellis (D),65382,25503,D,                          Kathryn Ellis
                          Jason Smith (R),719420,13200,R,                          Jason Smith
                          Gregorio Sablan (I),9526,0,I,                          Gregorio Sablan
                          Trent Kelly (R),267449,15892,R,                          Trent Kelly
                          Bennie G Thompson (D),486478,6544,D,                          Bennie G Thompson
                          Michael Guest (R),285987,3886,R,                          Michael Guest
                          Steven Palazzo (R),293020,1270,R,                          Steven Palazzo
                          Mike Espy (D),40099,29422,D,                          Mike Espy
                          Cindy Hyde-Smith (R),966993,46005,R,                          Cindy Hyde-Smith
                          Debra Lamm (R),35312,902,R,                          Debra Lamm
                          Tom Winter (D),197171,34110,D,                          Tom Winter
                          Kathleen Williams (D),798458,234025,D,                          Kathleen Williams
                          Corey Stapleton (R),122270,4510,R,                          Corey Stapleton
                          Joe Dooling (R),14298,2431,R,                          Joe Dooling
                          Matt Rains (D),35972,9047,D,                          Matt Rains
                          Jack Ballard (D),29955,5515,D,                          Jack Ballard
                          Gary Lee (D),171150,94196,D,                          Gary Lee
                          John Mues (D),101395,26050,D,                          John Mues
                          Steven Daines (R),5266133,447841,R,                          Steven Daines
                          G K Butterfield (D),266371,1165,D,                          G K Butterfield
                          Monika Johnson-Hostler (D),47624,18915,D,                          Monika Johnson-Hostler
                          Jason Butler (D),32751,7751,D,                          Jason Butler
                          Scott Cooper (D),455470,63123,D,                          Scott Cooper
                          George Holding (R),880478,10076,R,                          George Holding
                          Greg Murphy (R),1057920,73436,R,                          Greg Murphy
                          David Price (D),324439,24660,D,                          David Price
                          Jeanne Supin (D),29242,8059,D,                          Jeanne Supin
                          Virginia Foxx (R),784222,19696,R,                          Virginia Foxx
                          Angela Flynn (D),27911,12730,D,                          Angela Flynn
                          Mark Walker (R),359667,14116,R,                          Mark Walker
                          David Rouzer (R),685478,5976,R,                          David Rouzer
                          Scott Huffman (D),37722,19292,D,                          Scott Huffman
                          Richard Hudson (R),1087290,19766,R,                          Richard Hudson
                          Dan Bishop (R),2885012,655047,R,                          Dan Bishop
                          David Wilson Brown (D),10087,4314,D,                          David Wilson Brown
                          Gina Collias (R),24017,8126,R,                          Gina Collias
                          Patrick McHenry (R),1161085,2382,R,                          Patrick McHenry
                          Steve Woodsmall (D),32030,21158,D,                          Steve Woodsmall
                          Mark R Meadows (R),848311,428683,R,                          Mark R Meadows
                          Bill Brewster (R),21950,100,R,                          Bill Brewster
                          Alma Adams (D),296579,14759,D,                          Alma Adams
                          Ted Budd (R),900929,77760,R,                          Ted Budd
                          Erica Smith (D),133801,2785,D,                          Erica Smith
                          Eric Mansfield (D),252906,14039,D,                          Eric Mansfield
                          Cal Cunningham (D),1728081,249960,D,                          Cal Cunningham
                          Trevor Fuller (D),31598,5648,D,                          Trevor Fuller
                          Sandy Smith (R),264898,152449,R,                          Sandy Smith
                          Garland Tucker (R),1718790,64254,R,                          Garland Tucker
                          Thom Tillis (R),7321116,314912,R,                          Thom Tillis
                          Kelly Armstrong (R),321084,3385,R,                          Kelly Armstrong
                          Jeff Fortenberry (R),316264,7845,R,                          Jeff Fortenberry
                          Gladys Harrison (D),14557,6757,D,                          Gladys Harrison
                          Ann Ashford (D),149256,27547,D,                          Ann Ashford
                          Kara Eastman (D),263421,107620,D,                          Kara Eastman
                          Don Bacon (R),1058433,61818,R,                          Don Bacon
                          Adrian Smith (R),553552,10031,R,                          Adrian Smith
                          Matt Innis (R),12190,2340,R,                          Matt Innis
                          Chris Janicek (D),50108,5482,D,                          Chris Janicek
                          Ben Sasse (R),3972395,149748,R,                          Ben Sasse
                          Chris Pappas (D),854111,77500,D,                          Chris Pappas
                          Steve Negron (R),100831,14101,R,                          Steve Negron
                          Ann Kuster (D),1166286,91846,D,                          Ann Kuster
                          Bryant 'Corky' Messner (R),1229848,5585,R,                          Bryant 'Corky' Messner
                          Bill O'Brien (R),80724,4504,R,                          Bill O'Brien
                          Don Bolduc (R),239572,86291,R,                          Don Bolduc
                          Jeanne Shaheen (D),7237728,1709419,D,                          Jeanne Shaheen
                          Don Norcross (D),974353,18499,D,                          Don Norcross
                          David Richter (R),412760,1160,R,                          David Richter
                          Brian Fitzherbert (R),21287,7892,R,                          Brian Fitzherbert
                          Bob Patterson (R),100342,4192,R,                          Bob Patterson
                          Jeff Van Drew (D),1276316,38295,D,                          Jeff Van Drew
                          Andy Kim (D),1700707,223386,D,                          Andy Kim
                          Stephanie Schmid (D),100890,19190,D,                          Stephanie Schmid
                          Tiffany Kaszuba (D),17305,6276,D,                          Tiffany Kaszuba
                          David Applefield (D),134494,1150,D,                          David Applefield
                          Chris Smith (R),536214,97443,R,                          Chris Smith
                          Arati Kreibich (D),106833,35147,D,                          Arati Kreibich
                          Frank Pallotta (R),242049,7140,R,                          Frank Pallotta
                          Mike Ghassali (R),301246,10062,R,                          Mike Ghassali
                          John McCann (R),93257,23517,R,                          John McCann
                          Josh Gottheimer (D),2506014,51779,D,                          Josh Gottheimer
                          Russell Cirincione (D),12821,5184,D,                          Russell Cirincione
                          John Hsu (D),5396,646,D,                          John Hsu
                          Frank Pallone Jr. (D),1427045,6989,D,                          Frank Pallone Jr.
                          Tom Phillips (R),9219,6150,R,                          Tom Phillips
                          Tom Kean (R),936315,49515,R,                          Tom Kean
                          Rosemary Becchi (R),387713,6708,R,                          Rosemary Becchi
                          Tom Malinowski (D),1720429,148415,D,                          Tom Malinowski
                          Albio Sires (D),140782,1038,D,                          Albio Sires
                          Alp Basaran (D),64831,6431,D,                          Alp Basaran
                          Zina Spezakis (D),90430,6621,D,                          Zina Spezakis
                          Bill Pascrell Jr. (D),590399,6607,D,                          Bill Pascrell Jr.
                          John Flora (D),9059,3410,D,                          John Flora
                          Donald M Payne Jr. (D),216495,4348,D,                          Donald M Payne Jr.
                          Mikie Sherrill (D),1841106,190437,D,                          Mikie Sherrill
                          Bonnie Coleman (D),214567,25245,D,                          Bonnie Coleman
                          Stuart Meissner (R),257425,925,R,                          Stuart Meissner
                          Hirsch Singh (R),176632,99919,R,                          Hirsch Singh
                          Debra Haaland (D),610729,60194,D,                          Debra Haaland
                          Claire Chase (R),510790,8345,R,                          Claire Chase
                          Chris Mathys (R),233166,1666,R,                          Chris Mathys
                          Yvette Herrell (R),441403,62975,R,                          Yvette Herrell
                          Xochitl Torres Small (D),1660921,189255,D,                          Xochitl Torres Small
                          Kyle Tisdel (D),40954,9171,D,                          Kyle Tisdel
                          John Blair (D),147517,31192,D,                          John Blair
                          Rob Apodaca (D),40649,9312,D,                          Rob Apodaca
                          Joseph Sanchez (D),96611,27461,D,                          Joseph Sanchez
                          Brett Kokinadis (R),17776,1314,R,                          Brett Kokinadis
                          Teresa Leger (D),398219,67526,D,                          Teresa Leger
                          Valerie Plame (D),683122,390799,D,                          Valerie Plame
                          Marco Serna (D),348948,13073,D,                          Marco Serna
                          Laura Montoya (D),25956,7897,D,                          Laura Montoya
                          Audra Brown (R),5420,300,R,                          Audra Brown
                          Mick Rich (R),193577,1105,R,                          Mick Rich
                          Gavin Clarkson (R),324248,49264,R,                          Gavin Clarkson
                          Maggie Toulouse Oliver (D),427446,114577,D,                          Maggie Toulouse Oliver
                          Ben Ray Lujan (D),2606403,656908,D,                          Ben Ray Lujan
                          Dina Titus (D),301508,15276,D,                          Dina Titus
                          Clint Koble (D),32416,11764,D,                          Clint Koble
                          Mark Amodei (R),285309,3160,R,                          Mark Amodei
                          Dan Rodimer (R),251471,3535,R,                          Dan Rodimer
                          Tiger Helgelien (R),10691,1873,R,                          Tiger Helgelien
                          Zachary Walkerlieb (R),32482,1400,R,                          Zachary Walkerlieb
                          Dan Schwartz (R),264002,1453,R,                          Dan Schwartz
                          Susie Lee (D),1387048,50801,D,                          Susie Lee
                          Catherine Prato (R),29585,2136,R,                          Catherine Prato
                          Lisa Song Sutton (R),127999,8207,R,                          Lisa Song Sutton
                          Leo Blundo (R),45398,1145,R,                          Leo Blundo
                          Randi Reed (R),47595,7365,R,                          Randi Reed
                          Charles Navarro (R),97863,660,R,                          Charles Navarro
                          Sam Peters (R),138412,16441,R,                          Sam Peters
                          Jim Marchant (R),176624,12913,R,                          Jim Marchant
                          Steven Horsford (D),1085585,35216,D,                          Steven Horsford
                          Perry Gershon (D),605891,36165,D,                          Perry Gershon
                          Nancy Goroff (D),521006,59123,D,                          Nancy Goroff
                          Lee Zeldin (R),1855879,245159,R,                          Lee Zeldin
                          Jackie Gordon (D),187941,44875,D,                          Jackie Gordon
                          Melanie D'Arrigo (D),92987,13492,D,                          Melanie D'Arrigo
                          Michael Weinstock (D),52877,5569,D,                          Michael Weinstock
                          Tom Suozzi (D),1109657,24677,D,                          Tom Suozzi
                          Kathleen Rice (D),323286,23003,D,                          Kathleen Rice
                          Gregory W Meeks (D),638296,4513,D,                          Gregory W Meeks
                          Sandra Choi (D),9926,2335,D,                          Sandra Choi
                          Mel Gagarin (D),18707,3995,D,                          Mel Gagarin
                          Grace Meng (D),375912,12756,D,                          Grace Meng
                          Nydia M Velazquez (D),447471,17301,D,                          Nydia M Velazquez
                          Hakeem Jeffries (D),2037490,35462,D,                          Hakeem Jeffries
                          Michael Hiller (D),100589,2481,D,                          Michael Hiller
                          Adem Bunkeddeko (D),150142,12317,D,                          Adem Bunkeddeko
                          Alexander Hubbard (D),5483,2838,D,                          Alexander Hubbard
                          Yvette D Clarke (D),362599,7245,D,                          Yvette D Clarke
                          Jonathan Herzog (D),19038,5435,D,                          Jonathan Herzog
                          Jeanne Nigro (R),15708,4273,R,                          Jeanne Nigro
                          Amanda Pearl Frankel (D),15227,5288,D,                          Amanda Pearl Frankel
                          Lindsey Boylan (D),503955,30510,D,                          Lindsey Boylan
                          Jerrold Nadler (D),858037,83023,D,                          Jerrold Nadler
                          Nicole Malliotakis (R),756964,130927,R,                          Nicole Malliotakis
                          Joey Saladino (R),55143,16132,R,                          Joey Saladino
                          Max Rose (D),2130499,103808,D,                          Max Rose
                          Peter Harrison (D),22504,7404,D,                          Peter Harrison
                          Erica Vladimer (D),18675,9450,D,                          Erica Vladimer
                          Lauren Ashcraft (D),32639,17927,D,                          Lauren Ashcraft
                          Carolyn B Maloney (D),1016483,28934,D,                          Carolyn B Maloney
                          James Felton Keith (D),77675,4600,D,                          James Felton Keith
                          Richard Habersham (D),36759,9540,D,                          Richard Habersham
                          Adriano Espaillat (D),622921,9341,D,                          Adriano Espaillat
                          John C. Cummings (R),425142,288457,R,                          John C. Cummings
                          Antoine Tucker (R),20351,16551,R,                          Antoine Tucker
                          Miguel Hernandez (R),10328,965,R,                          Miguel Hernandez
                          Ruth Papazian (R),10632,4432,R,                          Ruth Papazian
                          Jineea Butler (R),60406,43806,R,                          Jineea Butler
                          Scherie Murray (R),424139,319634,R,                          Scherie Murray
                          Alexandria Ocasio-Cortez (D),3354732,2740940,D,                          Alexandria Ocasio-Cortez
                          Melissa Mark-Viverito (D),151613,19268,D,                          Melissa Mark-Viverito
                          Marlene Cintron (D),12544,944,D,                          Marlene Cintron
                          Ydanis Rodriguez (D),53160,1660,D,                          Ydanis Rodriguez
                          Samelys Lopez (D),12350,7050,D,                          Samelys Lopez
                          Ritchie Torres (D),876835,69508,D,                          Ritchie Torres
                          Tomas Ramos (D),24639,4864,D,                          Tomas Ramos
                          Ruben Diaz Sr (D),126654,32155,D,                          Ruben Diaz Sr
                          Jonathan Ortiz (D),8366,2136,D,                          Jonathan Ortiz
                          Michael Blake (D),360202,65814,D,                          Michael Blake
                          Andom Ghebreghiorgis (D),67401,30801,D,                          Andom Ghebreghiorgis
                          Jamaal Bowman (D),188994,99818,D,                          Jamaal Bowman
                          Samuel Ravelo (D),13745,3945,D,                          Samuel Ravelo
                          Eliot L Engel (D),564731,10226,D,                          Eliot L Engel
                          Mondaire Jones (D),218248,52595,D,                          Mondaire Jones
                          Chele Farley (R),468708,37912,R,                          Chele Farley
                          Sean Patrick Maloney (D),819650,99865,D,                          Sean Patrick Maloney
                          Ola Hawatmeh (R),5448,648,R,                          Ola Hawatmeh
                          Anthony German (R),49849,3749,R,                          Anthony German
                          Antonio Delgado (D),2047288,216395,D,                          Antonio Delgado
                          Elizabeth Joy (R),57976,22024,R,                          Elizabeth Joy
                          Paul Tonko (D),605713,56704,D,                          Paul Tonko
                          Tedra Cobb (D),655858,142917,D,                          Tedra Cobb
                          Elise Stefanik (R),1328708,60500,R,                          Elise Stefanik
                          George Phillips (R),153343,19533,R,                          George Phillips
                          Franklin Sager (R),5498,1085,R,                          Franklin Sager
                          Stephen Cornwell (R),87879,5004,R,                          Stephen Cornwell
                          Anthony Brindisi (D),1333961,155510,D,                          Anthony Brindisi
                          Tracy Mitrano (D),170829,59942,D,                          Tracy Mitrano
                          Tom Reed (R),1260323,18943,R,                          Tom Reed
                          Roger Misso (D),256726,37025,D,                          Roger Misso
                          Francis Conole (D),379176,58562,D,                          Francis Conole
                          Dana Balter (D),309055,82193,D,                          Dana Balter
                          John Katko (R),1182000,50020,R,                          John Katko
                          Joseph D Morelle (D),519215,15577,D,                          Joseph D Morelle
                          Brian M Higgins (D),514107,27841,D,                          Brian M Higgins
                          Beth Parlato (R),271004,16454,R,                          Beth Parlato
                          Rob Ortt (R),110105,8855,R,                          Rob Ortt
                          Nate McMurray (D),229978,43838,D,                          Nate McMurray
                          Duane Whitmer (L),9767,3500,L,                          Duane Whitmer
                          Chris Jacobs (R),1007099,10142,R,                          Chris Jacobs
                          Nikki Foster (D),170051,51397,D,                          Nikki Foster
                          Kate Schroder (D),386818,58481,D,                          Kate Schroder
                          Steve Chabot (R),923259,43050,R,                          Steve Chabot
                          Brad Wenstrup (R),634403,58612,R,                          Brad Wenstrup
                          Morgan Harper (D),333080,87617,D,                          Morgan Harper
                          Joyce Beatty (D),692182,10540,D,                          Joyce Beatty
                          Shannon Freshour (D),7053,1492,D,                          Shannon Freshour
                          Jim Jordan (R),2397805,1333683,R,                          Jim Jordan
                          Nick Rubando (D),51670,15018,D,                          Nick Rubando
                          Robert E Latta (R),522760,33350,R,                          Robert E Latta
                          Bill Johnson (R),722703,12997,R,                          Bill Johnson
                          Bob Gibbs (R),369094,11540,R,                          Bob Gibbs
                          Warren Davidson (R),348621,25357,R,                          Warren Davidson
                          Marcy Kaptur (D),369623,4473,D,                          Marcy Kaptur
                          Desiree Tims (D),41603,17228,D,                          Desiree Tims
                          Michael R Turner (R),641571,5564,R,                          Michael R Turner
                          Marcia L Fudge (D),265293,14970,D,                          Marcia L Fudge
                          Troy Balderson (R),770513,22123,R,                          Troy Balderson
                          Louis G. Lyras (I),15771,2210,I,                          Louis G. Lyras
                          Tim Ryan (D),146456,11598,D,                          Tim Ryan
                          David P Joyce (R),1236850,30807,R,                          David P Joyce
                          Steve Stivers (R),1326277,7540,R,                          Steve Stivers
                          Anthony Gonzalez (R),910156,19791,R,                          Anthony Gonzalez
                          Kevin Hern (R),462338,9535,R,                          Kevin Hern
                          Markwayne Mullin (R),555244,2055,R,                          Markwayne Mullin
                          Frank D Lucas (R),272832,5249,R,                          Frank D Lucas
                          Tom Cole (R),686272,6650,R,                          Tom Cole
                          Merideth Vansant (R),51942,6342,R,                          Merideth Vansant
                          Stephanie Bice (R),345531,51943,R,                          Stephanie Bice
                          Terry Neese (R),734386,14530,R,                          Terry Neese
                          Kendra Horn (D),1477040,188937,D,                          Kendra Horn
                          JJ Stitt (R),7352,15,R,                          JJ Stitt
                          James M Inhofe (R),2865848,48000,R,                          James M Inhofe
                          Suzanne Bonamici (D),390468,30912,D,                          Suzanne Bonamici
                          Jamie McLeod-Skinner (D),14427,3996,D,                          Jamie McLeod-Skinner
                          Albert Lee (D),42080,20252,D,                          Albert Lee
                          Earl Blumenauer (D),680200,36737,D,                          Earl Blumenauer
                          Alek Skarlatos (R),10358,1058,R,                          Alek Skarlatos
                          Doyle Canning (D),67504,25354,D,                          Doyle Canning
                          Jo Rae Perkins (R),9906,942,R,                          Jo Rae Perkins
                          Peter DeFazio (D),905218,114967,D,                          Peter DeFazio
                          Angela Roman (R),11226,4735,R,                          Angela Roman
                          Mark Gamba (D),77201,33239,D,                          Mark Gamba
                          Joey Nations (R),35209,7425,R,                          Joey Nations
                          Kurt Schrader (D),736454,15478,D,                          Kurt Schrader
                          Jeff Merkley (D),7371117,3680250,D,                          Jeff Merkley
                          Andrew Meehan (R),9160,6242,R,                          Andrew Meehan
                          Christina Finello (D),60807,11007,D,                          Christina Finello
                          Judi Reiss (D),101401,14376,D,                          Judi Reiss
                          Debbie Wachspress (D),215707,27010,D,                          Debbie Wachspress
                          Brian Fitzpatrick (R),1327200,27331,R,                          Brian Fitzpatrick
                          Brendan Boyle (D),616016,2304,D,                          Brendan Boyle
                          Dwight Evans (D),366631,22985,D,                          Dwight Evans
                          Madeleine Dean (D),341337,30255,D,                          Madeleine Dean
                          Mary Gay Scanlon (D),423314,59841,D,                          Mary Gay Scanlon
                          John Emmons (R),152224,6963,R,                          John Emmons
                          Tom Siedenbuehl (R),103487,285,R,                          Tom Siedenbuehl
                          Chrissy Houlahan (D),1228158,84509,D,                          Chrissy Houlahan
                          Dean Browning (R),243251,2566,R,                          Dean Browning
                          Susan Wild (D),909236,118579,D,                          Susan Wild
                          Teddy Daniels (R),18962,3000,R,                          Teddy Daniels
                          Matt Cartwright (D),867306,23630,D,                          Matt Cartwright
                          Dan Meuser (R),300664,2340,R,                          Dan Meuser
                          Bobby Jeffries (R),21120,1630,R,                          Bobby Jeffries
                          Tom Brier (D),301491,48122,D,                          Tom Brier
                          Eugene DePasquale (D),359799,42076,D,                          Eugene DePasquale
                          Scott Perry (R),613727,147671,R,                          Scott Perry
                          Lloyd Smucker (R),441191,4094,R,                          Lloyd Smucker
                          Fred Keller (R),782778,89027,R,                          Fred Keller
                          John Joyce (R),375219,6269,R,                          John Joyce
                          Guy Reschenthaler (R),521783,99365,R,                          Guy Reschenthaler
                          Glenn Thompson (R),607610,35661,R,                          Glenn Thompson
                          Daniel Smith Jr (D),24396,9701,D,                          Daniel Smith Jr
                          Mike Kelly (R),1034809,15010,R,                          Mike Kelly
                          Scott Timko (R),23865,4640,R,                          Scott Timko
                          Conor Lamb (D),740582,109188,D,                          Conor Lamb
                          Gerald Dickinson (D),127755,20215,D,                          Gerald Dickinson
                          Mike Doyle (D),390394,2343,D,                          Mike Doyle
                          Jenniffer Gonzalez (3),100400,0,3,                          Jenniffer Gonzalez
                          David Cicilline (D),637715,26396,D,                          David Cicilline
                          Jim Langevin (D),483663,14680,D,                          Jim Langevin
                          Jack Reed (D),2492212,56523,D,                          Jack Reed
                          Katherine Landing (R),352833,6421,R,                          Katherine Landing
                          Mike Covert (R),146733,5138,R,                          Mike Covert
                          Nancy Mace (R),487199,37562,R,                          Nancy Mace
                          Chris Cox (R),89735,35439,R,                          Chris Cox
                          Joe Cunningham (D),1770817,187989,D,                          Joe Cunningham
                          Adair Boroughs (D),496018,93962,D,                          Adair Boroughs
                          Lawrence Nathaniel (D),21543,653,D,                          Lawrence Nathaniel
                          Joe Wilson (R),401368,24617,R,                          Joe Wilson
                          Jeff Duncan (R),519880,113850,R,                          Jeff Duncan
                          Kim Nelson (D),22611,10534,D,                          Kim Nelson
                          William Timmons (R),579657,300,R,                          William Timmons
                          Ralph Norman (R),104889,14169,R,                          Ralph Norman
                          James E Clyburn (D),1273783,20526,D,                          James E Clyburn
                          Tom Rice (R),794109,1625,R,                          Tom Rice
                          Michael Lapierre (R),21874,635,R,                          Michael Lapierre
                          Joe Reynolds (R),57908,1648,R,                          Joe Reynolds
                          Jaime Harrison (D),3976900,2369533,D,                          Jaime Harrison
                          Gloria Bromell-Tinubu (D),24647,10187,D,                          Gloria Bromell-Tinubu
                          Lindsey Graham (R),12171157,2673240,R,                          Lindsey Graham
                          Dusty Johnson (R),589029,21259,R,                          Dusty Johnson
                          Scyller Borglum (R),22155,1205,R,                          Scyller Borglum
                          Mike Rounds (R),2779966,52815,R,                          Mike Rounds
                          Chris Rowe (D),6177,2736,D,                          Chris Rowe
                          Phil Roe (R),133394,10320,R,                          Phil Roe
                          Renee Hoyos (D),105449,34374,D,                          Renee Hoyos
                          Tim Burchett (R),427246,43511,R,                          Tim Burchett
                          Chuck Fleischmann (R),554897,600,R,                          Chuck Fleischmann
                          Doug Meyer (R),7364,292,R,                          Doug Meyer
                          Scott Desjarlais (R),161713,289,R,                          Scott Desjarlais
                          Jim Cooper (D),362749,17381,D,                          Jim Cooper
                          John Rose (R),476960,3365,R,                          John Rose
                          Mark Green (R),396431,40725,R,                          Mark Green
                          David Kustoff (R),783069,5775,R,                          David Kustoff
                          Steve Cohen (D),222340,1611,D,                          Steve Cohen
                          Josh Gapp (R),136972,670,R,                          Josh Gapp
                          Bill Hagerty (R),1905343,4993,R,                          Bill Hagerty
                          Manny Sethi (R),2407803,108542,R,                          Manny Sethi
                          James Mackler (D),893608,195799,D,                          James Mackler
                          Louis B Gohmert Jr. (R),211945,24803,R,                          Louis B Gohmert Jr.
                          Elisa Cardnell (D),177344,30440,D,                          Elisa Cardnell
                          Dan Crenshaw (R),2722631,807304,R,                          Dan Crenshaw
                          Sean McCaffity (D),155405,1025,D,                          Sean McCaffity
