Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_B09001_001,SE_B09001_002,SE_B09001_003,SE_B09001_004,SE_B09001_005,SE_B09001_006,SE_B09001_007,SE_B09001_008,SE_A09003_001,SE_A07001_001,SE_A07001_002,SE_A07001_003,SE_A07001_004,SE_A07001_005,SE_A07001_006,SE_A07001_007,SE_A07001_008,SE_A07001_009,SE_A07001_010,SE_A07001_011,SE_A07001_012,SE_A07001_013,SE_A07001_014,SE_A07001_015,SE_A07001_016,SE_A07001_017,SE_A07001_018,SE_A07001_019,SE_A07001_020,SE_A07001_021,SE_A07001_022,SE_A07001_023,SE_A07001_024,SE_A07001_025,SE_A07001_026,SE_A07001_027,SE_A07001_028,SE_A07001_029,SE_A07001_030,SE_A07001_031,SE_A07001_032,SE_A07001_033,SE_A07001_034,SE_A07001_035,SE_A07001_036,SE_A07001_037,SE_A07001_038,SE_A07001_039,SE_A07001_040,SE_A07001_041,SE_A07001_042,SE_A07001_043,SE_A07001_044,SE_A07001_045,SE_A07001_046,SE_A07001_047,SE_A07001_048,SE_A07001_049,SE_A07001_050,SE_A07001_051,SE_A07001_052,SE_A07001_053,SE_A07001_054,SE_A07001_055,SE_A07001_056,SE_A07001_057,SE_A07001_058,SE_A07001_059,SE_A07001_060,SE_A07001_061,SE_A07001_062,SE_A07001_063,SE_A07001_064,SE_A07001_065,SE_A07001_066,SE_A07001_067,SE_A07001_068,SE_A07001_069,SE_A07001_070,SE_A07001_071,SE_A07001_072,SE_A07001_073,SE_A07001_074,SE_A07001_075,SE_A07001_076,SE_A07001_077,SE_A07001_078,SE_A07001_079,SE_A07001_080,SE_A07001_081,SE_A07001_082,SE_A07001_083,SE_A07001_084,SE_A07001_085,SE_A07001_086,SE_A07001_087,SE_A07001_088,SE_A07001_089,SE_A07001_090,SE_A07001_091,SE_A07001_092,SE_A07001_093,SE_A07001_094,SE_A07001_095,SE_A07001_096,SE_A07001_097,SE_A07001_098,SE_A07001_099,SE_A07001_100,SE_A07001_101,SE_A07001_102,SE_A07001_103,SE_A07001_104,SE_A07001_105,SE_A07001_106,SE_A07001_107,SE_A07001_108,SE_A07001_109,SE_A07001_110,SE_A07001_111,SE_A07001_112,SE_A07001_113,SE_A07001_114,SE_A07001_115,SE_A07001_116,SE_A07001_117,SE_A07001_118,SE_A07001_119,SE_A07001_120,SE_A07001_121,SE_A07001_122,SE_A07001_123
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4850771,4850771,292163,303938,313308,193273,471452,628088,601634,648384,636499,448837,230226,82969,3276637,481059,1012551,979449,503930,216001,49452,34195,46472,53012,31183,48678,61859,53968,33715,41465,36776,53375,1967598,239078,613951,442664,347154,205576,83122,36053,25,167926,18203,4412,3986,1368,2202,416,226,200,8176,306,795,6424,457,194,1432,508,469,119,325,11,4159,41,248,203,386,562,1189,735,27,64,704,24,52932,21104,9680,8322,232,1126,1739,9685,0,13050,55,712,9177,947,1210,949,14464,473,188,912,4613,1515,6209,554,3876,283,374,536,82,546,7,2048,438,8245,2839,457,1448,934,466,1158,555,603,555,533,22,2528,284,323,1294,627,699,881,671,519,152,210,87665,84137,6684,172,1327,350,1325,2039,473,998,71236,52302,302,2259,11271,2988,676,1314,124,6217,282,109,678,491,1737,448,332,787,154,1007,192,3528,3373,155
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738565,738565,54267,51824,50321,29834,76877,117976,92305,96077,94744,50640,17779,5921,475442,36177,131293,170151,88308,35770,8878,4865,76114,83478,56696,47397,71748,59149,63628,63492,64112,84110,344851,89967,133780,62558,26734,15202,9831,6779,19,56043,8558,1422,925,354,483,88,69,428,2300,130,286,1560,191,133,342,176,81,8,63,14,4452,26,106,70,337,186,1743,785,101,158,940,42,31240,6080,1378,1078,129,171,834,3824,44,1759,0,307,666,76,139,571,22962,160,42,1303,17576,2747,996,138,391,1,5,82,37,174,0,92,48,2136,847,185,54,608,68,280,20,260,58,58,0,671,80,14,306,271,212,1569,327,205,122,1242,12540,9848,2420,32,225,1303,271,144,97,348,5291,3840,121,613,170,190,157,122,78,2137,163,53,187,183,650,102,12,432,38,137,180,2692,2692,0
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6809946,6809946,434757,454885,458293,274491,671345,917814,841712,840910,809377,644932,336809,124621,4516175,609649,1091339,1530530,802435,347309,79689,55224,53510,55636,42089,33402,71300,51932,41112,50702,42798,59643,2745471,339234,789352,625232,489050,327505,125421,49677,25,911790,82597,21465,16872,6689,8391,1792,1760,2833,23291,888,3181,15269,2430,1523,7965,1080,4136,776,1828,145,29642,546,1181,1471,5291,5591,4164,1891,3387,1125,4995,234,180822,42869,26579,20670,2084,3825,5319,10916,55,50126,1240,1452,36269,6133,1643,3389,62917,1654,1303,1522,29269,4156,20523,4490,24251,10655,2105,1593,2226,1068,118,6486,659,27944,9847,1819,2292,5736,2479,4820,1621,3199,2555,2343,212,5798,1293,1051,2199,1255,2445,4930,2626,1782,844,2304,615497,572159,12647,154,6387,1606,926,1678,1107,789,539564,510541,1064,7905,12951,3985,1417,1151,550,19948,1985,753,2228,1573,4886,1632,774,3914,493,1470,240,43338,43216,122
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2977944,2977944,190144,199627,196449,119498,286456,387753,367460,381092,373298,277145,143772,55250,1985770,286117,681486,580739,280677,111094,26156,19501,43813,47575,29299,36408,65576,32425,36222,37592,36844,48154,1218278,224613,426514,241420,162538,101879,41322,19992,22,141079,9982,2618,2213,1150,818,245,160,245,3881,76,608,2785,236,176,729,86,331,32,280,0,2727,16,195,72,318,531,530,440,63,114,448,27,33408,7899,5061,4267,162,632,990,1787,61,11097,10,466,8338,515,1127,641,12174,250,176,2887,3278,1004,4074,505,2043,267,74,128,358,135,0,1081,195,3164,747,202,115,430,205,528,192,336,491,462,29,1068,266,27,497,278,125,4658,340,232,108,4318,89867,87474,1546,0,541,273,125,258,199,150,81398,61346,228,11805,4195,2579,677,442,126,4530,362,716,538,256,882,469,85,860,12,295,55,2393,2347,46
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38982847,38982847,2493545,2526231,2543419,1551525,3917309,5822872,5180070,5202333,4597095,2946809,1509528,692111,25950818,4543530,5345542,7608015,5291984,2135376,616368,410003,67169,70503,46219,50229,86156,66635,49764,66627,51853,78903,16611711,1607637,4575464,3379548,2934938,2160565,1326450,627109,29,10518364,676809,177051,130615,58853,61451,10311,17491,28945,158681,7839,37581,78828,18344,16089,84881,11935,30805,25955,14980,1206,254386,5007,10067,11500,21339,24979,66811,55131,4939,4530,50083,1810,4047876,1325624,886536,608533,101715,176288,107906,326935,4247,803466,30938,14894,464381,206488,48964,37801,1630906,57556,40964,53524,842233,68746,516046,51837,277380,45047,32763,31789,25904,17250,71449,53178,10500,180945,57566,24269,10900,22397,6730,50452,35469,14983,19232,18985,247,38734,6516,2368,23869,5981,8231,80756,28408,20961,7447,52348,5531978,5398619,71400,1105,33860,6224,4726,13817,7194,4474,5067906,4196887,12258,428905,272771,63263,65137,9674,19011,259313,32995,8952,39214,16565,42540,22645,4459,74500,3340,10036,4067,133359,132692,667
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5436519,5436519,334250,353481,357253,206349,516709,824458,736447,716635,683541,432280,194990,80126,3668477,325019,791683,1105302,909794,391994,83193,61492,65458,67843,47687,41833,71984,56023,44949,56098,47577,71794,2539212,326333,745513,559505,435137,295203,127341,50180,25,533576,72593,17273,13850,6444,6394,1012,1213,2210,22292,1266,2009,15872,1583,1562,4391,851,1707,290,1508,35,28482,377,2244,1070,3824,1835,7027,4022,1367,270,6446,155,127627,41574,21361,17282,951,3128,4007,15230,976,34021,1157,545,19829,3045,1562,7883,41782,1969,1662,2750,10303,4162,17443,3493,10018,2134,1310,980,274,1008,635,3677,232,32645,14322,9000,1292,4030,2464,4114,703,3411,2480,2393,87,7471,2839,743,2245,1644,1794,4749,3452,2284,1168,1297,295962,281109,7419,168,2337,821,828,2109,633,523,253526,230328,629,9055,6090,4890,1186,1020,328,20164,2210,574,2347,1285,4498,859,242,5420,151,2269,309,14853,14815,38
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3594478,3594478,186188,206536,225831,144177,351449,439239,433401,535611,496289,318515,167133,90109,2480297,242500,673582,611016,532055,306063,73239,41842,73781,80277,45972,46004,91702,,39461,55564,44153,83780,1688843,205492,521169,373318,260652,177800,96127,54285,26,511878,127405,21140,15214,6869,7020,1325,3505,2421,15210,836,3171,8305,1446,1452,33953,4199,18000,9966,1765,23,56903,876,1405,1759,24940,2908,5509,4842,2605,586,11473,199,124738,36693,25519,21100,1881,2538,3168,7989,17,53108,846,3978,38526,1405,5740,2613,24686,1957,435,2187,10192,1507,6651,1757,9908,720,1293,1071,1088,2064,62,3610,343,21317,2828,769,490,1569,1106,4276,1733,2543,1861,1667,194,9606,4032,642,2634,2298,1640,1499,1383,1136,247,116,236919,222905,83415,1114,3500,19854,14398,36867,2300,5382,60525,28369,1667,5916,15937,6376,1320,683,257,78965,3127,217,16183,2006,15462,19392,3952,14362,1039,2581,644,14014,13823,191
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943732,943732,55282,56310,57714,34747,88139,125241,110313,128392,127029,95605,46641,18319,651540,69644,203135,176992,117478,60642,12303,11346,63036,67046,48850,39929,95060,,38820,48101,47205,68350,415725,42909,129544,98904,68197,43389,22337,10445,26,86028,10093,2820,2132,778,1036,318,465,223,2287,93,413,1345,221,215,2077,467,1237,85,273,15,2909,88,199,59,596,233,504,383,27,78,742,0,29892,8755,6588,5850,128,610,344,1823,0,13848,53,594,11060,587,1176,378,5270,241,212,72,3056,335,1207,147,1829,128,133,138,91,756,0,583,190,8941,2458,86,1982,390,595,774,597,177,304,277,27,4276,1475,935,1275,591,534,103,79,29,50,24,36999,35715,9285,86,605,1694,3201,2092,1054,553,22276,15607,47,1330,4187,439,133,461,72,4154,284,6,475,103,1109,455,944,340,49,276,113,1284,1183,101
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672391,672391,43607,33366,25534,15551,76490,156390,95604,76580,69500,45582,23058,11129,477843,46497,84119,76804,113830,96398,39862,20333,77649,125615,41387,48438,93798,79297,53891,86831,69499,129351,334491,18121,65497,76787,84891,60188,22243,6764,30,94421,17611,4376,2906,2077,799,30,726,744,5496,244,2417,1891,411,533,2902,198,1010,165,1521,8,4790,81,271,221,646,391,1194,514,120,267,1085,47,18683,6593,4443,3690,256,497,818,1320,12,5336,29,271,2722,991,517,806,4660,110,190,0,2109,274,1517,460,2066,125,294,162,144,384,149,808,28,14562,7154,5699,350,1105,1275,1112,376,736,453,402,51,3809,610,175,1766,1258,759,964,901,748,153,63,42601,40585,8245,154,735,2220,499,2822,1082,733,22028,4117,277,11776,3241,1620,386,350,261,10312,977,625,1753,549,2133,510,823,1647,258,688,349,2016,2016,0
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20278447,20278447,1105362,1126805,1160129,719286,1770799,2602567,2465145,2752893,2648572,2169519,1234840,522530,14396066,1787348,4170468,4342392,2616384,1021907,295243,162324,50883,53357,37280,43427,66236,56190,42972,47933,44196,56032,8406771,767691,2283404,1925703,1679078,1095474,471396,184025,27,4106195,390367,100096,78358,33972,37596,6790,8398,13340,89817,3627,17643,53880,7606,7061,71539,11013,30828,9313,20010,375,128098,2568,8080,8955,21191,10989,22981,14274,7115,3571,28374,817,438809,95972,63276,50516,5017,7743,10712,21689,295,124086,1458,8130,83164,9929,14191,7214,162860,4129,2820,4560,79223,13059,51302,7767,52821,4240,13764,7685,3927,9253,926,13026,3070,69207,12991,2744,2591,7656,2198,24412,10772,13640,10999,10759,240,15520,2453,1235,8168,3664,3087,7678,6342,4466,1876,1336,3200134,3087890,1696316,6753,947767,120794,313829,212293,43377,51503,637647,270294,16994,44820,77615,97750,103885,20617,5672,753927,52419,9784,80713,19851,256756,50372,34443,90451,13271,140400,5467,112244,111183,1061
