Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_B09001_001,SE_B09001_002,SE_B09001_003,SE_B09001_004,SE_B09001_005,SE_B09001_006,SE_B09001_007,SE_B09001_008,SE_A09003_001,SE_A07001_001,SE_A07001_002,SE_A07001_003,SE_A07001_004,SE_A07001_005,SE_A07001_006,SE_A07001_007,SE_A07001_008,SE_A07001_009,SE_A07001_010,SE_A07001_011,SE_A07001_012,SE_A07001_013,SE_A07001_014,SE_A07001_015,SE_A07001_016,SE_A07001_017,SE_A07001_018,SE_A07001_019,SE_A07001_020,SE_A07001_021,SE_A07001_022,SE_A07001_023,SE_A07001_024,SE_A07001_025,SE_A07001_026,SE_A07001_027,SE_A07001_028,SE_A07001_029,SE_A07001_030,SE_A07001_031,SE_A07001_032,SE_A07001_033,SE_A07001_034,SE_A07001_035,SE_A07001_036,SE_A07001_037,SE_A07001_038,SE_A07001_039,SE_A07001_040,SE_A07001_041,SE_A07001_042,SE_A07001_043,SE_A07001_044,SE_A07001_045,SE_A07001_046,SE_A07001_047,SE_A07001_048,SE_A07001_049,SE_A07001_050,SE_A07001_051,SE_A07001_052,SE_A07001_053,SE_A07001_054,SE_A07001_055,SE_A07001_056,SE_A07001_057,SE_A07001_058,SE_A07001_059,SE_A07001_060,SE_A07001_061,SE_A07001_062,SE_A07001_063,SE_A07001_064,SE_A07001_065,SE_A07001_066,SE_A07001_067,SE_A07001_068,SE_A07001_069,SE_A07001_070,SE_A07001_071,SE_A07001_072,SE_A07001_073,SE_A07001_074,SE_A07001_075,SE_A07001_076,SE_A07001_077,SE_A07001_078,SE_A07001_079,SE_A07001_080,SE_A07001_081,SE_A07001_082,SE_A07001_083,SE_A07001_084,SE_A07001_085,SE_A07001_086,SE_A07001_087,SE_A07001_088,SE_A07001_089,SE_A07001_090,SE_A07001_091,SE_A07001_092,SE_A07001_093,SE_A07001_094,SE_A07001_095,SE_A07001_096,SE_A07001_097,SE_A07001_098,SE_A07001_099,SE_A07001_100,SE_A07001_101,SE_A07001_102,SE_A07001_103,SE_A07001_104,SE_A07001_105,SE_A07001_106,SE_A07001_107,SE_A07001_108,SE_A07001_109,SE_A07001_110,SE_A07001_111,SE_A07001_112,SE_A07001_113,SE_A07001_114,SE_A07001_115,SE_A07001_116,SE_A07001_117,SE_A07001_118,SE_A07001_119,SE_A07001_120,SE_A07001_121,SE_A07001_122,SE_A07001_123
"0110700","32000US0110700","Albertville, AL Micro Area; Alabama","Albertville, Alabama","al","320","00","ACSSF","0007793",,,,,"01",,,,,,,,,,,,,,"10700",,,,,,,,,,,,,,,,,,,,,,,,,,,,94738,94738,6367,6347,6809,4026,7941,11603,11831,12345,11775,9383,4741,1570,63248,12661,19782,19593,7353,3036,512,311,41104,41428,37727,39896,124063,,32964,42949,28576,42704,36929,7408,13196,5141,3629,4459,2119,977,24,6877,251,53,53,2,36,15,0,0,169,0,13,135,21,0,2,0,2,0,0,0,27,0,0,0,11,3,9,0,0,0,4,0,453,23,12,12,0,0,11,0,0,287,0,0,269,18,0,0,129,0,0,0,93,2,34,0,12,0,0,0,0,0,0,12,2,112,82,72,0,10,0,3,0,3,0,0,0,7,7,0,0,0,20,18,17,17,0,1,6043,6014,511,0,67,21,408,0,11,4,5481,4057,0,3,1333,82,0,6,0,22,0,0,8,0,7,2,0,0,0,5,0,29,29,0
"0110760","32000US0110760","Alexander City, AL Micro Area; Alabama","Alexander City, Alabama","al","320","00","ACSSF","0007794",,,,,"01",,,,,,,,,,,,,,"10760",,,,,,,,,,,,,,,,,,,,,,,,,,,,40756,40756,2217,2611,2303,1544,3472,4300,4452,5561,6196,4928,2338,834,28609,5486,9728,8185,3474,1265,321,150,42181,51436,23140,,,,,,69766,51192,14685,2063,5172,2139,2459,1469,1037,346,25,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,97,82,73,0,9,0,15,0,0,0,0,0,0,0,0,19,1,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,422,19,0,2,0,0,0,0,17,394,345,0,0,25,16,0,8,0,9,0,7,0,0,2,0,0,0,0,0,0,14,14,0
"0111500","32000US0111500","Anniston-Oxford-Jacksonville, AL Metro Area; Alabama","Anniston-Oxford-Jacksonville, Alabama","al","320","00","ACSSF","0007795",,,,,"01",,,,,,,,,,,,,,"11500",,,,,,,,,,,,,,,,,,,,,,,,,,,,115527,115527,6556,6995,7209,4670,11122,14938,13983,15199,15850,11270,5695,2040,78975,13254,25440,26168,8092,4284,997,740,43686,48989,28212,51339,40313,,32398,33649,33698,49415,44808,6569,13277,10365,7500,4020,1804,1273,25,3021,543,110,57,13,44,0,33,20,349,3,0,323,23,0,4,0,4,0,0,0,80,0,0,0,0,27,39,14,0,0,0,0,913,320,94,94,0,0,12,214,0,169,0,0,74,0,0,95,352,0,0,0,79,191,82,0,72,72,0,0,0,0,0,0,0,114,63,0,8,55,0,12,0,12,0,0,0,39,0,0,39,0,0,9,9,9,0,0,1442,1370,79,0,22,0,15,26,0,16,1163,1013,0,20,62,22,0,46,0,128,0,6,0,0,69,14,0,22,0,12,5,72,72,0
"0112120","32000US0112120","Atmore, AL Micro Area; Alabama","Atmore, Alabama","al","320","00","ACSSF","0007796",,,,,"01",,,,,,,,,,,,,,"12120",,,,,,,,,,,,,,,,,,,,,,,,,,,,37621,37621,2195,2337,2442,1408,3343,4783,4860,5098,4742,3682,2029,702,25896,4927,11346,6477,1956,848,238,104,35026,42742,22089,31810,,,,30104,,42656,11817,2507,4506,1463,1397,941,714,289,23,297,18,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,14,0,0,0,0,7,0,7,0,0,0,0,124,109,109,109,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,155,9,0,0,0,0,0,0,9,146,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0112220","32000US0112220","Auburn-Opelika, AL Metro Area; Alabama","Auburn-Opelika, Alabama","al","320","00","ACSSF","0007797",,,,,"01",,,,,,,,,,,,,,"12220",,,,,,,,,,,,,,,,,,,,,,,,,,,,156597,156597,9283,9190,9602,5764,30306,22454,18921,18343,15898,10527,4896,1413,92452,9303,22660,28267,18261,9345,1694,2922,47564,53778,30894,61875,51760,,55982,42292,46828,54053,68387,8938,26450,13826,10834,5350,1872,1117,22,8593,1034,219,206,66,131,9,0,13,567,22,46,475,0,24,87,46,14,0,27,0,161,9,0,0,15,0,55,40,0,42,0,0,5227,3502,1023,945,38,40,158,2321,0,861,0,110,669,27,43,12,570,75,6,16,98,0,313,62,294,0,9,0,0,47,0,238,0,425,9,0,0,9,0,242,74,168,75,75,0,49,39,0,10,0,50,124,124,124,0,0,1783,1627,141,0,7,8,0,54,72,0,1195,465,0,35,315,210,67,103,0,291,0,0,112,18,32,0,54,22,53,0,0,156,156,0
"0113820","32000US0113820","Birmingham-Hoover, AL Metro Area; Alabama","Birmingham-Hoover, Alabama","al","320","00","ACSSF","0007798",,,,,"01",,,,,,,,,,,,,,"13820",,,,,,,,,,,,,,,,,,,,,,,,,,,,1144097,1144097,72093,73921,74617,45407,99272,155571,148640,153385,150593,99983,51360,19255,778787,93540,220441,236062,143125,56418,18664,10537,52088,61194,35967,39554,74142,89773,35341,42340,36899,61725,491402,47668,133204,116795,97318,64679,24031,7707,26,44925,3959,1027,869,391,380,98,116,42,1222,24,151,902,117,28,591,243,182,9,157,0,1106,4,80,23,61,82,331,342,0,0,183,13,12830,4083,2649,2383,0,266,320,1114,0,4436,7,65,3150,301,710,203,3109,60,33,0,840,251,1690,235,1060,12,69,295,28,39,0,617,142,3269,1522,78,1013,431,40,350,261,89,318,308,10,847,34,162,338,313,192,177,102,59,43,75,24690,23897,1262,0,363,88,93,431,71,216,20986,17133,81,971,1556,954,84,168,39,1649,63,27,280,65,448,78,100,268,0,310,10,793,793,0
"0117980","32000US0117980","Columbus, GA-AL Metro Area (part); Alabama","Columbus, Alabama","al","320","00","ACSSF","0007799",,,,,"01",,,,,,,,,,,,,,"17980",,,,,,,,,,,,,,,,,,,,,,,,,,,,58480,58480,4315,4642,3386,2265,5162,9181,7278,7563,7101,4553,2262,772,38710,6618,12536,13020,4092,2012,251,181,38988,44072,33113,21894,,,29544,29208,37759,43299,23097,1864,7225,6134,4728,2387,423,336,24,1809,349,20,20,4,16,0,0,0,275,30,6,239,0,0,23,0,23,0,0,0,31,0,0,28,0,0,0,0,0,0,3,0,324,6,6,6,0,0,0,0,0,13,0,0,13,0,0,0,295,0,0,0,71,0,224,0,10,0,0,0,0,10,0,0,0,103,0,0,0,0,0,0,0,0,15,15,0,88,0,46,42,0,0,45,0,0,0,45,988,984,103,0,0,0,0,75,0,28,768,460,0,0,247,0,14,47,0,113,0,0,0,0,96,0,17,0,0,0,0,4,4,0
"0118980","32000US0118980","Cullman, AL Micro Area; Alabama","Cullman, Alabama","al","320","00","ACSSF","0007800",,,,,"01",,,,,,,,,,,,,,"18980",,,,,,,,,,,,,,,,,,,,,,,,,,,,81703,81703,4926,4610,5659,3162,6626,10020,10153,11140,10899,8634,4657,1217,56720,10147,20338,17778,5409,2206,634,208,40997,41558,33869,19375,20234,,38333,14095,32576,41767,30963,5380,9446,5171,3367,3755,3041,803,26,2271,235,76,63,0,35,28,13,0,141,0,17,124,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,304,133,133,0,0,119,52,0,94,0,0,85,0,0,9,122,0,0,0,110,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,6,12,0,1498,1482,17,0,17,0,0,0,0,0,1313,1210,0,26,11,66,0,0,0,152,0,0,0,0,13,0,0,139,0,0,0,16,16,0
"0119300","32000US0119300","Daphne-Fairhope-Foley, AL Metro Area; Alabama","Daphne-Fairhope-Foley, Alabama","al","320","00","ACSSF","0007801",,,,,"01",,,,,,,,,,,,,,"19300",,,,,,,,,,,,,,,,,,,,,,,,,,,,203360,203360,11506,12505,12985,8003,15339,22749,25367,27641,28578,23312,11503,3872,143022,13997,39771,45286,29237,10714,2885,1132,52562,55766,27504,50449,46514,,57734,50444,43012,56266,82876,8657,23571,16496,16220,11737,4653,1542,27,6606,1508,495,444,124,305,15,41,10,534,64,74,336,60,0,74,48,26,0,0,0,405,0,62,42,69,76,25,53,0,0,78,0,1209,587,449,346,41,62,41,97,0,178,0,0,166,12,0,0,440,0,15,0,220,0,172,33,4,4,0,0,0,0,0,0,0,145,122,0,0,122,0,0,0,0,21,21,0,0,0,0,0,0,2,66,66,17,49,0,3678,3471,896,0,4,12,0,470,143,267,1728,1457,0,26,67,3,0,175,0,847,9,0,91,143,305,191,0,9,0,99,0,207,207,0
"0119460","32000US0119460","Decatur, AL Metro Area; Alabama","Decatur, Alabama","al","320","00","ACSSF","0007802",,,,,"01",,,,,,,,,,,,,,"19460",,,,,,,,,,,,,,,,,,,,,,,,,,,,152445,152445,8879,10294,9396,6136,12276,18583,19276,21914,20708,14859,7342,2782,105464,19466,34067,32409,13493,4645,959,425,46725,49607,27348,67045,53816,,23865,62500,35465,49930,60967,7884,18407,11634,11434,8687,2008,913,25,5329,294,94,86,2,67,17,0,8,101,0,9,40,12,40,16,0,16,0,0,0,83,0,0,0,12,6,33,25,0,0,7,0,562,174,124,114,0,10,22,28,0,248,0,0,171,57,20,0,140,0,0,0,61,38,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,0,4467,4409,202,0,22,0,86,79,0,15,4092,3533,0,34,490,15,0,12,8,115,0,0,0,0,0,0,0,0,6,22,87,58,58,0
