Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_B09001_001,SE_B09001_002,SE_B09001_003,SE_B09001_004,SE_B09001_005,SE_B09001_006,SE_B09001_007,SE_B09001_008,SE_A09003_001,SE_A07001_001,SE_A07001_002,SE_A07001_003,SE_A07001_004,SE_A07001_005,SE_A07001_006,SE_A07001_007,SE_A07001_008,SE_A07001_009,SE_A07001_010,SE_A07001_011,SE_A07001_012,SE_A07001_013,SE_A07001_014,SE_A07001_015,SE_A07001_016,SE_A07001_017,SE_A07001_018,SE_A07001_019,SE_A07001_020,SE_A07001_021,SE_A07001_022,SE_A07001_023,SE_A07001_024,SE_A07001_025,SE_A07001_026,SE_A07001_027,SE_A07001_028,SE_A07001_029,SE_A07001_030,SE_A07001_031,SE_A07001_032,SE_A07001_033,SE_A07001_034,SE_A07001_035,SE_A07001_036,SE_A07001_037,SE_A07001_038,SE_A07001_039,SE_A07001_040,SE_A07001_041,SE_A07001_042,SE_A07001_043,SE_A07001_044,SE_A07001_045,SE_A07001_046,SE_A07001_047,SE_A07001_048,SE_A07001_049,SE_A07001_050,SE_A07001_051,SE_A07001_052,SE_A07001_053,SE_A07001_054,SE_A07001_055,SE_A07001_056,SE_A07001_057,SE_A07001_058,SE_A07001_059,SE_A07001_060,SE_A07001_061,SE_A07001_062,SE_A07001_063,SE_A07001_064,SE_A07001_065,SE_A07001_066,SE_A07001_067,SE_A07001_068,SE_A07001_069,SE_A07001_070,SE_A07001_071,SE_A07001_072,SE_A07001_073,SE_A07001_074,SE_A07001_075,SE_A07001_076,SE_A07001_077,SE_A07001_078,SE_A07001_079,SE_A07001_080,SE_A07001_081,SE_A07001_082,SE_A07001_083,SE_A07001_084,SE_A07001_085,SE_A07001_086,SE_A07001_087,SE_A07001_088,SE_A07001_089,SE_A07001_090,SE_A07001_091,SE_A07001_092,SE_A07001_093,SE_A07001_094,SE_A07001_095,SE_A07001_096,SE_A07001_097,SE_A07001_098,SE_A07001_099,SE_A07001_100,SE_A07001_101,SE_A07001_102,SE_A07001_103,SE_A07001_104,SE_A07001_105,SE_A07001_106,SE_A07001_107,SE_A07001_108,SE_A07001_109,SE_A07001_110,SE_A07001_111,SE_A07001_112,SE_A07001_113,SE_A07001_114,SE_A07001_115,SE_A07001_116,SE_A07001_117,SE_A07001_118,SE_A07001_119,SE_A07001_120,SE_A07001_121,SE_A07001_122,SE_A07001_123
"1","03000US1","New England Division","New England Division","us","030","00","ACSSF","0000068",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14726577,14726577,762070,812239,869857,553144,1474716,1908970,1774360,2147954,2048640,1342186,685679,346762,10254551,969730,2742746,2576892,2268821,1210034,272020,214308,69270,72614,45319,37562,85415,58984,37455,52928,41282,74168,7029418,880888,1963357,1424102,1142023,909579,497479,211990,27,1907955,433217,80942,51037,25309,21271,4457,20971,8934,55000,2766,12946,28581,5486,5221,147153,17382,40379,82076,7156,160,149573,1797,3752,3771,39929,7440,28000,15890,6821,2215,39958,549,535166,189845,146713,123248,10995,12470,13056,29847,229,170573,1859,8284,118968,7804,13285,20373,124109,21265,3470,6877,28343,8245,48299,7610,49390,6782,6031,8794,4405,8544,2198,12636,1249,155375,36505,6403,11433,18669,9059,22587,7919,14668,5244,4903,341,75273,13073,6580,12859,42761,6707,6948,6131,4643,1488,817,777249,705403,298719,5458,7462,133503,71213,58466,9150,13467,187462,49703,3665,48359,59034,19500,2590,2976,1635,219222,7012,3887,85020,5720,46163,28038,6771,23377,3668,8037,1529,71846,70920,926
"2","03000US2","Middle Atlantic Division","Middle Atlantic Division","us","030","00","ACSSF","0000069",,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41548894,41548894,2415240,2425143,2494227,1557432,3946391,5684086,5152445,5832868,5497690,3626863,1954561,961948,28710461,3461203,8475670,6931720,5780691,2927506,707418,426253,63089,68422,42149,39986,80850,44642,39699,52520,45111,70112,18725373,2019244,4571924,3549270,3111048,2759688,1853264,860935,31,7311507,1203297,166415,107973,53305,45431,9237,40952,17490,161504,10886,37134,86576,10480,16428,276074,46101,157182,44923,25933,1935,596830,10303,15636,17663,132830,30004,112868,116538,11947,6800,142241,2474,2276929,887436,646248,537025,54723,54500,45198,195351,639,837564,10722,118348,496160,27975,100216,84143,355586,11959,10789,5094,195212,18894,75918,37720,189642,9580,44146,12848,17298,36577,4912,64281,6701,364366,44262,11340,13990,18932,13590,90046,58343,31703,12487,11799,688,178707,49987,22904,55383,50433,25274,20314,17590,14213,3377,2724,3446601,3358500,1533422,31363,76334,709805,190793,299869,119426,105832,873128,413953,24024,165760,122641,93264,17249,24958,11279,951950,35404,8582,62846,19698,196541,265764,189982,120706,14638,24147,13642,88101,86897,1204
"3","03000US3","East North Central Division","East North Central Division","us","030","00","ACSSF","0000070",,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46767485,46767485,2809064,2940229,3041228,1875970,4549526,6062353,5750105,6358010,6247901,4061901,2106913,964285,31551468,3288342,9591905,9496180,5718626,2534227,556990,365198,55031,58991,32251,39317,75688,49383,44525,42905,46972,59528,20963430,2998273,6233522,4526244,3299115,2415910,1063529,426837,25,3571421,698960,80783,58797,25343,27279,6175,11913,10073,109559,6462,12572,73767,10149,6609,74778,24041,40891,1372,7008,1466,431698,9173,9338,8023,156541,31935,40031,45240,21225,10501,99691,2142,1295081,339386,213793,181407,10522,21864,34525,88361,2707,446990,2472,21051,325349,15999,45482,36637,289486,8063,5803,27883,139285,25752,51551,31149,206883,73462,9720,29268,16546,9325,1103,67459,12336,193710,54252,14153,10206,29893,13971,29527,14310,15217,7212,6757,455,75340,18569,5237,31776,19758,13408,11307,9262,6930,2332,2045,1372363,1287092,70181,741,17896,14477,8663,18725,4632,5047,1106196,986116,3551,26494,50369,23988,6148,3927,5603,110715,9426,3270,16966,4099,23689,21064,3119,16285,1372,8999,2426,85271,84783,488
"4","03000US4","West North Central Division","West North Central Division","us","030","00","ACSSF","0000071",,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21082788,21082788,1359219,1398969,1387760,827927,2075507,2808473,2535156,2733734,2751082,1782438,966570,455953,14033406,1255191,3986126,4494023,2806754,1060954,254347,176011,57140,59853,33712,34144,65536,45117,42346,44649,44120,60418,9973543,1978276,3321438,2080105,1349389,808460,288021,147854,21,1237224,143732,25416,19221,8321,9145,1755,1779,4416,34764,1361,3751,25152,2535,1965,9340,1461,3999,685,3140,55,73992,1611,1801,1147,4741,3554,13454,10484,21353,1176,14671,220,439988,111874,68115,58702,3223,6190,8800,34489,470,115463,1671,3692,77737,5161,8703,18499,180496,7278,1906,33265,32955,27601,54531,22960,30597,9081,1770,2927,2211,2222,374,12012,1558,176090,100038,27460,19802,52776,7080,14573,4072,10501,4824,4594,230,42433,4958,16847,11467,9161,7142,7793,3954,2979,975,3839,469621,440187,24744,242,9304,3479,3333,4429,1779,2178,370264,292400,1366,24647,33249,13165,2614,2063,760,45179,3039,887,7238,2126,9134,8363,4174,5040,513,3134,1531,29434,29243,191
"5","03000US5","South Atlantic Division","South Atlantic Division","us","030","00","ACSSF","0000072",,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63241087,63241087,3733343,3866199,3920697,2384050,5938017,8449742,8037083,8677703,8083029,5906729,3025051,1219444,43398781,5384043,12016253,12515192,8201030,3735646,922134,624483,54979,59659,40823,41186,80815,56023,43498,53283,45903,61360,27391929,2795201,7638131,5973198,4983240,3551588,1730668,719903,27,8274864,826926,209655,165366,75039,76614,13713,17671,26618,210289,8336,38580,131547,16292,15534,120962,23626,50133,14881,31619,703,284129,5384,14432,14867,37816,26910,62125,37718,16494,5659,62724,1891,1796819,484667,262428,210443,15887,36098,41285,178367,2587,633993,20003,32068,399369,51045,77618,53890,528759,17634,11771,20531,219767,38058,186342,34656,142445,19499,24532,17056,10722,24022,2047,44567,6955,507906,146204,76373,24464,45367,41820,71878,31016,40862,27584,26514,1070,195689,46123,19437,77604,52525,24731,23228,17784,13321,4463,5444,5119985,4934567,1963971,12511,982319,164563,348041,303473,75459,77605,1908533,959927,28682,326755,207364,213596,123642,39373,9194,1062063,69531,44767,115890,31145,329239,70319,57188,150648,19860,162696,10780,185418,182811,2607
"6","03000US6","East South Central Division","East South Central Division","us","030","00","ACSSF","0000073",,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18858748,18858748,1159736,1204224,1229457,745805,1822139,2464488,2367516,2529446,2450816,1710437,856344,318340,12697387,1851520,4056576,3709054,1909452,834604,200641,135540,46548,51245,31500,40896,64397,43172,34766,39828,38786,51486,7824016,1039463,2459083,1745647,1306633,796971,324520,151699,24,724284,81592,19514,16015,6003,8466,1546,1621,1878,28549,720,3179,21752,1646,1252,5775,1231,2313,782,1278,171,27560,420,1508,1006,2275,3012,6377,3198,4554,529,4681,194,229534,67440,34228,29361,1044,3823,9805,23270,137,68061,767,1928,45720,5214,4804,9628,66580,2963,1126,6172,22280,5420,22626,5993,25800,8856,1111,1763,940,1768,62,11300,1653,60386,19311,5471,4371,9469,4455,13926,9680,4246,2825,2676,149,15989,2280,2358,6374,4977,3880,3783,2737,2014,723,1046,348989,331451,33320,329,15779,2968,4194,4985,1867,3198,271059,201413,1527,12962,31328,17442,2046,3228,1113,27072,2088,526,3587,1875,7131,1743,1146,4654,287,3517,518,17538,17198,340
"7","03000US7","West South Central Division","West South Central Division","us","030","00","ACSSF","0000074",,,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38957268,38957268,2747538,2808678,2783398,1648229,3883667,5599704,5121442,4958463,4483898,2912900,1453080,556271,25085758,4096759,6903696,7279664,4466256,1687403,387148,264832,53580,57702,36708,43117,78718,47515,41916,49537,44478,62842,16823798,2254690,5131058,3457064,2836536,1877498,891013,375939,25,5186715,237040,71509,59385,28153,25858,5374,3749,8375,72696,1943,12855,46922,6042,4934,23901,3801,8765,1896,9297,142,68202,1923,2426,3138,8235,8228,17773,6991,4668,1485,13335,732,1124491,237334,156285,114858,9342,32085,18035,62867,147,399703,4512,15153,258110,29894,60450,31584,405923,10420,8153,14494,111518,19336,212841,29161,77062,17302,5031,9093,5730,7575,646,31685,4469,230569,64524,20328,18876,25320,20734,23488,10647,12841,11936,11316,620,94658,10479,4585,69137,10457,15229,20276,9826,7817,2009,10450,3574339,3517244,109837,1657,49716,13330,6954,15533,11434,11213,3236925,2743445,5799,221308,88182,137746,22564,11326,6555,170482,12844,5834,21457,4937,47232,10603,5062,24120,1717,34043,2633,57095,56777,318
"8","03000US8","Mountain Division","Mountain Division","us","030","00","ACSSF","0000075",,,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23483396,23483396,1548077,1627707,1624070,952172,2296126,3311068,3003034,2911148,2837303,2016744,983163,372784,15435244,1745908,3812818,5135419,3010117,1241322,280546,209114,56881,59370,42168,34944,66886,54448,41703,51649,44033,62401,10132933,1523345,3213855,2233340,1602810,972701,400028,186854,23,2597470,261005,65023,51675,20725,26130,4820,4750,8598,78658,3596,9492,52821,7356,5393,22013,3268,9895,2087,6541,222,94730,2369,5073,4653,12437,10408,17659,9509,9181,2769,20672,581,586321,156805,90493,70433,6190,13870,19071,45839,1402,125508,4242,3687,76308,16436,6433,18402,249261,6401,5252,8654,138484,18284,59231,12955,53311,17331,5558,4423,3226,3497,2776,16500,1436,94278,41098,19884,5518,15696,7496,13259,3919,9340,7889,7360,529,17958,5284,2198,6539,3937,6578,22830,10993,6918,4075,11837,1633036,1542748,49896,445,29557,6050,3179,5991,2372,2302,1400136,1273214,3738,52733,40897,15828,7240,4295,2191,92716,10947,3074,12975,8098,17560,6687,1412,21314,1610,7945,1094,90288,90080,208
"9","03000US9","Pacific Division","Pacific Division","us","030","00","ACSSF","0000076",,,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52338164,52338164,3319228,3361734,3362417,2044802,5145395,7755289,6915278,6941817,6347161,4143191,2056116,945736,35104588,5384418,7507822,10715171,7215321,2923112,812084,546660,66225,68336,46243,47235,84743,61844,49500,64685,51580,73458,22540192,2432344,6342275,4595491,3873333,2848101,1670955,777693,28,12216013,908850,227000,166579,75242,78057,13280,21005,39416,209209,10097,44689,110164,24773,19486,94372,13743,34659,26853,17740,1377,375898,5874,13275,13326,27404,36542,93687,98997,9414,5110,72269,2371,4829505,1590096,1021062,708906,116390,195766,157112,406569,5353,927338,33050,17064,550966,218213,54409,53636,1996218,73844,47888,65415,1057501,86024,603588,61958,304299,50715,36273,34448,27148,20407,72609,62699,11554,254817,102600,44747,17549,40304,9749,58536,39251,19285,23832,23404,428,49304,8246,3075,27393,10590,10796,130186,38699,27612,11087,91487,6092655,5892079,86620,1385,38664,9264,6971,16163,8364,5809,5510262,4593357,13834,444574,290498,68650,68103,11569,19677,295197,36761,9739,47079,19693,48872,25000,5264,81079,4268,12764,4678,200576,199732,844
