Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_B09001_001,SE_B09001_002,SE_B09001_003,SE_B09001_004,SE_B09001_005,SE_B09001_006,SE_B09001_007,SE_B09001_008,SE_A09003_001,SE_A07001_001,SE_A07001_002,SE_A07001_003,SE_A07001_004,SE_A07001_005,SE_A07001_006,SE_A07001_007,SE_A07001_008,SE_A07001_009,SE_A07001_010,SE_A07001_011,SE_A07001_012,SE_A07001_013,SE_A07001_014,SE_A07001_015,SE_A07001_016,SE_A07001_017,SE_A07001_018,SE_A07001_019,SE_A07001_020,SE_A07001_021,SE_A07001_022,SE_A07001_023,SE_A07001_024,SE_A07001_025,SE_A07001_026,SE_A07001_027,SE_A07001_028,SE_A07001_029,SE_A07001_030,SE_A07001_031,SE_A07001_032,SE_A07001_033,SE_A07001_034,SE_A07001_035,SE_A07001_036,SE_A07001_037,SE_A07001_038,SE_A07001_039,SE_A07001_040,SE_A07001_041,SE_A07001_042,SE_A07001_043,SE_A07001_044,SE_A07001_045,SE_A07001_046,SE_A07001_047,SE_A07001_048,SE_A07001_049,SE_A07001_050,SE_A07001_051,SE_A07001_052,SE_A07001_053,SE_A07001_054,SE_A07001_055,SE_A07001_056,SE_A07001_057,SE_A07001_058,SE_A07001_059,SE_A07001_060,SE_A07001_061,SE_A07001_062,SE_A07001_063,SE_A07001_064,SE_A07001_065,SE_A07001_066,SE_A07001_067,SE_A07001_068,SE_A07001_069,SE_A07001_070,SE_A07001_071,SE_A07001_072,SE_A07001_073,SE_A07001_074,SE_A07001_075,SE_A07001_076,SE_A07001_077,SE_A07001_078,SE_A07001_079,SE_A07001_080,SE_A07001_081,SE_A07001_082,SE_A07001_083,SE_A07001_084,SE_A07001_085,SE_A07001_086,SE_A07001_087,SE_A07001_088,SE_A07001_089,SE_A07001_090,SE_A07001_091,SE_A07001_092,SE_A07001_093,SE_A07001_094,SE_A07001_095,SE_A07001_096,SE_A07001_097,SE_A07001_098,SE_A07001_099,SE_A07001_100,SE_A07001_101,SE_A07001_102,SE_A07001_103,SE_A07001_104,SE_A07001_105,SE_A07001_106,SE_A07001_107,SE_A07001_108,SE_A07001_109,SE_A07001_110,SE_A07001_111,SE_A07001_112,SE_A07001_113,SE_A07001_114,SE_A07001_115,SE_A07001_116,SE_A07001_117,SE_A07001_118,SE_A07001_119,SE_A07001_120,SE_A07001_121,SE_A07001_122,SE_A07001_123
"1","03000US1","New England Division","New England Division","US","030","00","ACSSF","0000068",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14393770,14393770,800724,860625,914374,593105,1418372,1736798,1993398,2273045,1789156,1016633,684578,312962,9806570,1087163,2760470,2472168,2035428,1030571,247864,172906,68840,71730,46138,38985,81081,47898,36621,50599,40139,72836,6756148,954981,1971391,1368520,1071014,813262,408349,168631,26,1704419,438224,80218,50739,20319,24851,5569,20676,8803,55781,2533,10828,31355,5766,5299,155530,17393,45263,88204,4566,104,146171,1493,4490,4483,43932,6100,27797,15535,6954,4173,31214,524,443210,153973,112077,90816,10087,11174,11243,30497,156,129282,1312,6297,88291,7475,12199,13708,119411,21880,3683,6828,25968,9450,45432,6170,39389,2885,6178,9854,2480,7680,2560,7752,1155,121368,24068,5322,7209,11537,4772,17681,5397,12284,4589,4355,234,62636,10284,6473,9708,36171,7622,6046,5184,3752,1432,862,695571,615490,247029,5474,7634,101553,59196,51138,9771,12263,165561,46684,4382,36976,54622,15615,2422,3758,1102,202900,6848,3826,86015,4706,38244,23736,6400,20693,3576,6647,2209,80081,79306,775
"2","03000US2","Middle Atlantic Division","Middle Atlantic Division","US","030","00","ACSSF","0000069",,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40716251,40716251,2429054,2484334,2605686,1700583,3959723,5239016,5588830,6146064,4854980,2895528,1965649,846804,27536871,3770027,8597788,6576527,5115672,2464425,657369,355063,62826,67719,43773,41268,79018,57131,41346,51669,45458,69006,18065960,2176225,4672383,3422989,2927612,2473400,1644977,748374,29,6743300,1265947,171938,111815,46049,53985,11781,43019,17104,169815,12357,32823,98491,11386,14758,304705,49637,178410,52133,22144,2381,616379,13085,18957,21103,150308,32132,125447,106020,13375,26098,109854,3110,1968797,779696,527517,422175,51965,53377,47562,204128,489,672653,10491,83960,416026,26104,84891,51181,344377,12502,11511,5275,189955,17220,76880,31034,165590,6008,47672,14019,13072,33359,3946,47514,6481,288165,35301,8664,9720,16917,8292,70175,44617,25558,11057,10599,458,139207,41388,19104,41974,36741,24133,16462,15018,11362,3656,1444,3203929,3113201,1382460,32392,84522,567121,180445,279213,126161,112606,815357,415199,26246,144116,95120,81708,15389,27265,10314,915384,33609,9350,64388,20340,181917,260803,178522,115427,15585,20442,15001,90728,89508,1220
"3","03000US3","East North Central Division","East North Central Division","US","030","00","ACSSF","0000070",,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46355486,46355486,2952912,3067355,3168387,2013065,4522039,5895660,6182913,6919340,5496238,3205613,2068976,862988,30631728,3768240,9855641,8954257,5078970,2147691,526453,300476,55662,58889,34100,41222,75527,55843,46140,43466,46933,59303,20293173,3055337,6161224,4340372,3130845,2200060,983433,421902,24,3357472,745768,86765,63723,21770,34431,7522,13449,9593,125441,8165,12327,85794,12107,7048,80638,25762,46060,1333,5600,1883,451155,9638,11278,9621,168725,36205,40569,40476,22795,29333,82515,1769,1062860,297460,166432,132690,10462,23280,33261,95531,2236,337702,1141,13728,255991,14231,36709,15902,260516,8000,4911,26695,130298,24627,50100,15885,157075,52174,10790,28316,10294,8746,1170,45585,10107,144333,42123,10338,7700,24085,5983,21491,11065,10426,7630,7380,250,55600,12029,5321,22320,15930,11506,9994,8310,6010,2300,1684,1394517,1304557,63622,1111,16426,10374,7929,18703,4240,4839,1139830,1038732,3237,21054,43479,18265,5280,4548,5235,101105,8511,2357,12331,4487,23003,21391,3331,14740,1564,6658,2732,89960,89495,465
"4","03000US4","West North Central Division","West North Central Division","US","030","00","ACSSF","0000071",,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20384784,20384784,1370469,1352979,1370620,857454,2042854,2647142,2582743,3000937,2381946,1415892,941989,419759,13390408,1409906,4051109,4201150,2483600,872405,232914,139324,56066,58119,33317,31520,64256,47164,42288,42271,42501,58561,9560705,1995509,3219143,1956648,1242937,738213,264554,143701,21,1059936,147620,26278,18356,6326,10329,1701,2208,5714,37187,1510,3695,26703,2945,2334,8257,1605,4248,528,1774,102,75434,1776,1644,1792,4899,4268,14811,9735,20103,2268,14138,464,351662,96390,52365,42045,2964,7356,8384,35193,448,85789,2431,2473,59415,4646,6032,10792,148282,6826,2268,32373,26098,18731,52283,9703,20005,5396,1854,2151,1211,2057,234,7102,1196,120705,63498,17658,12328,33512,3933,14049,4095,9954,3028,2762,266,28413,2656,11591,8741,5425,7784,7120,3269,2103,1166,3851,432829,401965,16109,284,5816,1847,2387,2965,1336,1474,349482,287204,1338,21475,24228,9761,2759,2167,550,36374,2426,840,5024,1763,8385,7304,2792,4070,338,2229,1203,30864,30712,152
"5","03000US5","South Atlantic Division","South Atlantic Division","US","030","00","ACSSF","0000072",,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59277919,59277919,3759644,3740735,3817093,2400716,5797667,7691606,8214163,8637436,7046093,4478446,2673164,1021156,39762064,5858061,11523084,11142451,6988162,2943872,810808,495626,56030,60554,41424,41233,77704,61526,43805,51585,46199,62075,25629015,2898621,7445222,5566625,4531396,3104034,1463987,619130,26,7267151,798758,206637,163387,61994,86516,14877,17419,25831,210842,9117,34721,137104,14559,15341,108808,22533,47964,12918,24420,973,271028,5009,13840,16286,39389,27625,53347,33662,19817,11879,50174,1443,1450921,417019,201137,149774,14984,36379,38502,175692,1688,462034,12278,26209,293972,44091,57324,28160,460657,17077,11824,20749,189887,33979,167728,19413,105031,8628,21533,16025,6351,20310,1486,30698,6180,391883,104452,51720,18574,34158,28061,55894,23570,32324,22166,21388,778,151190,34500,18678,59221,38791,30120,19176,15070,10916,4154,4106,4606413,4428980,1663752,9460,821926,129805,296166,267280,68616,70499,1853837,1026115,26082,284154,175956,172686,124196,36233,8415,911391,60467,43293,101989,28706,283048,67400,52927,140301,19559,101684,12017,177433,173865,3568
"6","03000US6","East South Central Division","East South Central Division","US","030","00","ACSSF","0000073",,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18318155,18318155,1198176,1206903,1231467,765483,1798002,2367276,2458228,2655397,2207595,1364979,777822,286827,12118124,2175558,3953020,3364572,1657435,677203,180254,110082,46357,50955,31056,37909,66012,49835,37977,37286,38773,51206,7557792,1070848,2449683,1669822,1214529,720330,285713,146867,24,648115,82339,20071,16305,5577,9212,1516,1609,2157,27926,920,2321,22138,1519,1028,5242,1020,2224,586,1321,91,28800,361,946,581,2031,2852,6121,4478,6062,1750,3618,300,182390,60266,29132,24100,993,4039,10963,20035,136,49432,561,1473,34937,4730,3797,3934,55192,2274,1231,6171,17910,4405,20193,3008,16387,4932,1238,1098,858,2351,214,5696,1113,38375,14285,3272,3506,7507,1510,8248,4861,3387,2231,2138,93,8618,1045,1205,3849,2519,3483,3875,2617,1909,708,1258,341136,324376,23909,605,11346,2188,2252,3369,1710,2439,276809,220013,1100,12222,25933,12781,1510,2624,626,23658,2301,895,3345,1382,4986,1936,800,3209,652,3188,964,16760,16487,273
"7","03000US7","West South Central Division","West South Central Division","US","030","00","ACSSF","0000074",,,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35869231,35869231,2690589,2644324,2594156,1586233,3694992,5031273,4865599,4949953,3807165,2236389,1292792,475766,22658937,4227508,6410616,6455836,3725557,1295377,335962,208081,52626,57066,35837,43849,70393,54781,40471,45252,41541,61809,15400119,2268659,4859597,3147171,2541227,1555670,707818,319977,24,4497225,215975,66259,53548,20426,28291,4831,4497,8214,71625,1796,10290,50007,5482,4050,18607,3583,7450,1539,5689,346,58742,2058,2659,2737,6494,6505,15411,5762,4411,3422,9283,742,857418,199699,120700,79820,9614,31266,17784,60979,236,270535,1487,10581,170617,24454,47960,15436,333476,9860,5731,15481,89681,16680,180507,15536,50882,5847,5711,7836,3592,6276,384,21236,2826,143308,39624,11392,12072,16160,8848,17235,7228,10007,8067,7741,326,57406,6646,3376,40116,7268,12128,15849,8024,5971,2053,7825,3264675,3211020,71627,1310,28173,8714,3918,11628,7936,9948,3007663,2613563,6128,182874,67918,100863,19689,10396,6232,131730,11215,3925,15507,4966,38621,9614,3989,21245,1951,18450,2247,53655,53146,509
"8","03000US8","Mountain Division","Mountain Division","US","030","00","ACSSF","0000075",,,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21816883,21816883,1615129,1569906,1527551,932507,2196247,3056156,2869698,2972517,2454460,1475907,837260,309545,13975543,1788316,3593538,4633647,2561329,989008,242701,167004,57437,59433,43957,36925,66995,55515,43995,48690,43549,62587,9403377,1506292,3031391,2003635,1468502,866082,353947,173528,23,2432713,259961,63033,49159,15621,28778,4760,3954,9920,79774,3497,8893,53129,8431,5824,21689,3760,10983,1618,5076,252,95007,2647,5400,5478,12566,9441,17923,8001,13050,6115,14386,458,471361,136252,69929,51235,6039,12655,18619,47045,659,87822,3195,2066,51281,13363,4770,13147,208730,5915,4876,7466,114409,15912,51380,8772,37392,11321,4654,5279,1784,3217,2485,8652,1165,67798,30548,13113,3950,13485,2737,11520,3192,8328,5582,5454,128,11518,3065,2120,3493,2840,5893,21674,9576,6356,3220,12098,1611919,1529209,36965,353,20354,5131,2029,4601,2192,2305,1413819,1305573,3359,44771,34675,13065,6399,4627,1350,78425,10117,1966,9664,7992,13814,5529,941,19878,1556,5449,1519,82710,82362,348
"9","03000US9","Pacific Division","Pacific Division","US","030","00","ACSSF","0000076",,,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49471293,49471293,3353680,3279885,3402238,2189612,5078000,7003894,6927656,7024979,5469953,3063344,1877197,800855,32167878,5434156,7116017,9893673,6206124,2353406,714302,450200,65809,67996,48038,47531,81117,66180,50337,62116,51405,72141,20932149,2571023,6238249,4262999,3539622,2399451,1325930,594875,26,11558339,890177,219111,159203,61046,83893,14264,21293,38615,212015,11090,38165,118444,25777,18539,94715,14507,35665,28788,14032,1723,362433,7294,12791,15379,29418,37642,89322,91520,9710,11570,57787,1903,4239184,1402386,829568,532654,109141,187773,153517,415668,3633,706261,25757,12305,386736,203510,41358,36595,1868789,71453,46234,70810,995601,79242,553170,52279,253642,33969,33621,34110,19495,16528,67234,48685,8106,204679,80284,30036,15028,35220,5859,48419,30729,17690,20542,20237,305,37695,5194,3170,21048,8283,11880,120658,33902,22883,11019,86756,6103641,5901355,82696,1074,40500,6678,5009,15690,7243,6502,5549955,4677534,13963,427992,269495,60298,66303,12806,21564,268704,35377,10594,36163,18602,43706,27437,4134,73451,3431,11276,4533,202286,201561,725
